id_person,Culture,Location,n_recordings,f0_mean_hz,f0_sd_hz,f1_mean_hz,f2_mean_hz,f3_mean_hz,f4_mean_hz,vtl_proxy_hz
3,Vanuatu,Vanuatu,1,246.1606796,36.10283287,613.957,1803.968,3099.756,4121.473,1939.4861753535424
4,Afr-Colombians,Colombia,1,193.0324,51.92163892,568.605,1882.393,2734.85,3925.026,1841.0867636185083
4,Arawak,Guyana,1,271.1544882,82.30921118,582.23,1851.788,2894.637,3875.289,1864.8590492625226
4,Jenu Kurubas,India,1,250.2922963,83.90495374,637.503,1683.298,2870.447,4092.056,1884.228573026184
4,Kalahari,Papua New Guinea,1,275.5912554,38.78772732,557.46,1351.952,2524.892,3672.912,1625.9495947396322
4,Krakow,Poland,1,256.2884615,78.67784154,787.444,1909.995,3019.391,4104.098,2077.768925623297
4,Mentawai Islanders,Sumatra,1,224.2843496,26.70918422,655.163,1897.129,3034.024,3958.238,1965.5848013035697
4,Mestizo,Colombia,1,167.1575,26.10109843,477.315,1816.475,2867.143,3927.933,1767.7139259182998
4,Nyangatom,Ethiopia,1,241.6973057,48.70531334,555.915,1711.154,2904.307,3946.229,1817.1073024366897
4,Rural Southern Poland,Poland,1,242.5191736,56.73104047,514.014,1727.778,2937.36,3973.835,1794.351300023832
4,Sapara & Achuar,Ecuador,1,144.7978947,17.76457651,556.142,1735.625,2986.122,3867.937,1827.288548756632
4,Toposa,Ethiopia,1,288.581866,51.59398793,739.783,1867.284,2862.774,3805.923,1969.6562851475999
4,Tsimane,Bolivia,1,168.994385,31.21674861,548.206,1985.18,3050.112,4176.057,1929.55192501631
4,Turku,Sweden,1,282.1376,73.39073891,691.226,1895.997,3049.235,4075.264,2008.8665571695215
4,Urban Beijing,China,1,226.8784971,40.51718146,598.014,1606.954,3064.586,4003.637,1853.0422689361017
4,Urban San Diego,USA,1,346.7153986,87.75395812,606.087,1797.08,3029.689,4042.491,1911.1174277117113
4,Urban Toronto,Canada,1,231.5875556,63.92991444,628.198,1846.817,3018.627,4088.901,1945.288929275238
4,Urban Wellington,New Zealand,1,306.8580858,131.6074153,590.569,1783.971,2876.761,4047.931,1871.538777781464
4,Vanuatu,Vanuatu,1,316.7685821,95.58317402,666.771,1744.441,3069.185,4063.548,1951.59799081092
5,Afr-Colombians,Colombia,1,213.2509953,37.85576536,629.118,1863.171,2718.564,3806.273,1866.1909573198122
5,Arawak,Guyana,1,223.9082031,57.21690316,623.564,1603.638,3139.44,3995.384,1881.9129103815899
5,Hadza,Tanzania,1,228.2449345,44.88750377,564.249,2039.116,3224.822,4252.876,1993.08260907901
5,Jenu Kurubas,India,1,285.3257895,22.978648,480.415,1942.236,2944.044,4085.023,1830.2665401737065
5,Kalahari,Papua New Guinea,1,322.3534862,78.32559006,702.634,1874.198,2745.264,3863.558,1933.2100564215853
5,Krakow,Poland,1,262.8481179,45.42160201,587.584,1760.035,2974.948,4112.481,1886.0084633417987
5,Mbendjele,Republic of Congo,1,299.3384404,60.01967856,638.982,1749.264,2932.962,4231.001,1929.8492556821204
5,Mestizo,Colombia,1,205.1579843,31.8952979,613.996,1857.871,2982.044,3862.443,1903.8788398455288
5,Nyangatom,Ethiopia,1,237.5877291,58.47791093,755.317,1656.716,2831.409,3925.549,1931.1681236821448
5,Quechua,Peru,1,219.3500735,50.07733039,536.606,1931.656,2934.614,4070.44,1875.8340443730592
5,Rural Southern Poland,Poland,1,353.3297062,105.0464824,526.274,1746.064,2857.055,3980.315,1797.947595515873
5,Sapara & Achuar,Ecuador,1,170.0603779,40.78861745,574.325,1756.281,3160.224,4033.446,1893.5922154767939
5,Toposa,Ethiopia,1,234.0770588,24.62287732,437.09,1911.351,2898.081,3948.207,1758.350454869775
5,Turku,Finland,1,217.59181,62.41355831,641.455,1859.734,2985.241,4132.028,1958.5737061025632
5,Urban Beijing,China,1,163.012449,17.56850241,552.815,1593.238,3031.982,3866.562,1792.5778178482315
5,Urban San Diego,USA,1,271.1514591,93.37832599,575.21,1839.813,2938.029,4107.961,1890.47363615488
5,Urban Toronto,Canada,1,180.7583333,71.19793578,577.869,1907.955,3043.684,4069.447,1922.3529153816855
5,Urban Wellington,New Zealand,1,403.1262222,87.77157107,808.67,2000.386,3068.77,4220.139,2139.410182487951
5,Vanuatu,Vanuatu,1,296.2533425,64.18556778,704.498,1947.979,2896.559,3829.334,1975.2288285655043
6,Arawak,Guyana,1,274.16575,23.73725924,743.314,2068.872,3163.882,3986.592,2098.6112700225094
6,Hadza,Tanzania,1,236.0861538,53.00227382,617.911,1848.597,3163.411,4220.898,1976.2057658057713
6,Jenu Kurubas,India,1,265.957947,31.35988751,502.888,1989.95,3097.862,4224.928,1902.3862754996255
6,Kalahari,Papua New Guinea,1,169.5926966,28.26240161,603.769,1703.563,2619.33,3828.461,1792.0943208255262
6,Krakow,Poland,1,248.0551515,43.81755987,632.749,1776.752,2974.278,4113.126,1925.7635540686842
6,Mbendjele,Republic of Congo,1,291.13392,50.18019521,554.758,1898.53,3105.672,4412.934,1949.175815282774
6,Mentawai Islanders,Sumatra,1,211.8309357,34.02803027,653.146,1900.255,3171.853,4231.214,2020.2264345007204
6,Mestizo,Colombia,1,221.8610556,36.28704933,636.867,1678.115,2775.226,3806.472,1833.0438958526063
6,Nyangatom,Ethiopia,1,249.8309329,49.64729177,575.15,1733.385,2771.384,3990.123,1822.1737533302219
6,Rural Southern Poland,Poland,1,289.2283405,79.47617333,602.456,1593.541,2716.315,3826.743,1777.3563127399345
6,Sapara & Achuar,Ecuador,1,176.5118537,25.71978609,612.217,1832.127,2859.948,3890.231,1879.5272287489297
6,Toposa,Ethiopia,1,252.5428418,45.24295885,520.424,1709.747,2853.794,3918.958,1776.1130247855642
6,Tsimane,Bolivia,1,194.9545775,29.09332996,471.454,1869.852,3093.498,4182.964,1837.7868138316474
6,Turku,Sweden,1,323.4788532,84.54200435,592.635,1880.559,2865.033,4046.22,1895.890914075241
6,Urban Beijing,China,1,209.4637888,55.6838162,519.277,1741.584,2953.259,3986.25,1806.3520463429265
6,Urban San Diego,USA,1,244.9138679,100.7802017,558.129,1947.73,3001.539,4126.892,1915.6122655663714
6,Urban Toronto,Canada,1,302.8194144,104.7231235,620.947,1877.08,3057.891,4122.184,1957.8150938491608
6,Vanuatu,Vanuatu,1,261.4043964,41.93531943,616.623,1752.972,3061.542,3966.784,1903.4583063765674
7,Arawak,Guyana,1,261.2328723,70.79925676,631.296,1973.969,3187.251,4180.6,2018.631574367956
7,Hadza,Tanzania,1,261.9022995,74.74341203,541.903,2008.335,3164.219,4204.174,1950.6359864712888
7,Jenu Kurubas,India,1,271.2609091,52.65700692,583.446,1741.286,3072.123,4103.24,1891.729662324245
7,Krakow,Poland,1,270.1510931,82.97345399,594.262,1936.811,3025.401,4079.01,1941.3360969988453
7,Mbendjele,Republic of Congo,1,254.4597861,41.26132417,553.299,1829.786,2758.477,4020.206,1830.4988698150603
