filename,f0_mean,f0_sd,f1_mean,f2_mean,f3_mean,f4_mean
KRA10B,282.916,72.754,716.591,1996.115,3096.193,4195.182
KRA11B,228.315,55.865,721.713,1968.088,3125.811,4150.298
LIM01B,254.961,45.551,437.468,1783.372,3058.976,4021.589
LIM02B,294.505,76.064,572.808,1878.095,3059.320,4125.873
LIM03B,281.559,75.144,524.836,1795.872,2978.864,4114.270
LIM04B,242.360,56.496,514.014,1727.778,2937.360,3973.835
LIM05B,359.797,104.436,526.274,1746.064,2857.055,3980.315
LIM06B,291.767,81.488,602.456,1593.541,2716.315,3826.743
LIM07B,297.386,75.235,557.102,1806.505,2941.097,4022.934
LIM08B,277.622,72.070,690.127,2000.674,3068.955,4107.407
LIM09B,260.296,73.459,550.547,1902.107,3033.399,4178.895
LIM10B,241.784,83.801,514.451,1927.114,3052.000,4107.890
LIM11B,220.521,50.171,538.215,1931.309,3079.737,4122.191
LIM12B,293.529,60.141,572.877,1837.522,3031.495,4056.198
LIM13B,277.156,82.879,520.952,1711.049,2863.885,4026.380
LIM14B,125.829,40.682,534.613,1772.007,2958.519,3869.463
MBE01B,352.583,49.406,665.216,1690.629,2922.247,3942.082
MBE02B,407.460,60.768,706.525,1734.157,2869.995,4018.207
MBE03B,359.003,65.175,705.100,1801.785,3040.803,3932.308
MBE04B,160.579,63.069,543.286,1650.910,2898.832,3944.185
MBE05B,297.454,60.465,638.982,1749.264,2932.962,4231.001
MBE06B,290.115,50.464,554.758,1898.530,3105.672,4412.934
MBE07B,253.804,42.054,553.299,1829.786,2758.477,4020.206
MBE08B,241.155,65.347,561.303,1854.320,2762.220,3972.600
MBE09B,262.009,40.419,538.902,1661.758,2820.902,3789.577
MBE10B,364.894,34.610,664.273,1682.379,2888.682,3779.648
MBE11B,249.454,31.273,506.600,1555.876,2762.428,3819.492
MBE12B,292.448,53.347,509.399,1726.393,3022.169,4036.135
MBE13B,300.360,70.238,644.693,1754.733,3064.854,4143.451
MBE14B,186.028,32.557,474.422,1592.591,2595.996,3976.441
MBE15B,241.425,34.145,472.531,1730.738,2815.190,4100.220
MEN01B,180.149,89.940,633.285,1697.153,2791.459,3806.939
MEN02B,216.780,43.130,702.456,1863.946,2955.411,4104.116
MEN03B,286.066,103.589,760.438,1762.514,2915.206,4034.276
MEN04B,223.528,25.352,655.163,1897.129,3034.024,3958.238
MEN05B,145.439,66.829,625.251,1741.769,2816.488,3955.960
MEN06B,211.307,34.893,653.146,1900.255,3171.853,4231.214
MEN07B,168.419,79.171,611.186,1759.804,2729.911,3900.621
MEN08B,179.443,31.342,628.778,1704.675,3045.173,4166.038
MEN09B,188.131,13.325,533.094,2024.905,2953.454,4066.763
MEN10B,223.721,40.585,608.055,1721.312,3007.441,4017.688
MEN11B,161.428,60.008,610.781,1665.167,2938.175,3943.089
MEN12B,146.306,19.139,777.910,1814.815,2642.663,3695.058
MEN13B,208.872,42.604,708.682,1968.987,2703.471,3741.678
MEN14B,113.596,9.988,688.436,1909.648,3002.323,4066.067
MEN15B,208.141,73.137,642.217,1705.623,3000.460,4079.722
MES01B,280.406,30.784,803.681,1763.225,2819.756,3835.758
MES02B,286.178,46.872,564.087,1841.912,2787.778,4134.252
MES03B,361.248,37.247,693.358,1779.536,2949.204,3773.726
MES04B,167.655,26.615,477.315,1816.475,2867.143,3927.933
MES05B,205.569,30.916,613.996,1857.871,2982.044,3862.443
MES06B,222.704,37.190,636.867,1678.115,2775.226,3806.472
MES07B,237.956,29.549,565.782,1773.279,2882.213,3852.681
MES08B,251.637,90.120,731.555,1967.301,2904.853,3976.954
MES09B,209.102,38.061,567.718,1711.874,2740.306,3947.525
MES10B,218.430,60.778,646.031,1662.532,2867.865,4023.699
MES11B,272.974,73.433,680.666,1734.521,2903.619,4001.648
NYA01B,258.652,31.356,662.652,1662.008,2754.599,3820.481
NYA02B,256.124,27.190,535.011,1895.019,2927.362,3885.737
NYA03B,295.397,47.204,614.929,1690.070,2665.393,3714.776
NYA04B,240.895,45.963,555.915,1711.154,2904.307,3946.229
NYA05B,238.673,57.119,755.317,1656.716,2831.409,3925.549
NYA06B,250.207,50.729,575.150,1733.385,2771.384,3990.123
NYA07B,177.435,56.436,485.642,1743.693,2944.924,3929.355
NYA08B,274.945,32.857,656.716,1750.428,2834.572,3945.770
NYA09B,225.890,37.490,561.365,1739.673,3145.361,3937.612
NYA10B,243.838,42.570,611.129,1625.365,2720.790,3845.640
NYA11B,256.662,65.816,692.868,1676.040,2922.799,4040.468
NYA12B,262.322,56.987,621.505,1680.314,2899.495,3936.250
NYA13B,244.400,44.436,633.972,1827.028,2974.316,3996.503
NYA14B,249.251,47.321,609.999,1714.814,2958.852,3874.375
PNG01B,258.419,37.789,641.941,1335.817,2639.559,3434.117
PNG02B,290.598,86.971,617.403,1526.862,2699.424,3671.134
PNG03B,304.669,106.448,730.143,1584.271,2608.778,3763.279
PNG04B,275.896,38.512,557.460,1351.952,2524.892,3672.912
PNG05B,322.387,78.343,702.634,1874.198,2745.264,3863.558
PNG06B,174.049,48.831,603.769,1703.563,2619.330,3828.461
QUE01B,241.564,144.858,661.834,1704.847,3234.654,4231.141
QUE02B,154.685,14.096,597.998,2073.830,3207.356,4220.644
QUE03B,172.034,74.642,680.275,1740.785,3120.686,4075.161
QUE05B,220.814,28.040,536.606,1931.656,2934.614,4070.440
QUE07B,210.753,32.486,444.335,1642.863,3010.772,3983.622
QUE08B,162.117,48.751,544.126,2067.314,3004.815,4280.311
QUE09B,109.777,7.285,526.826,1916.170,2960.408,4115.401
QUE10B,173.430,84.584,519.233,1762.848,2811.735,3881.225
QUE11B,189.116,25.160,380.030,1660.902,2995.732,3980.390
QUE12B,212.720,21.380,476.844,1878.450,2943.746,3795.634
QUE13B,0,0,672.272,2143.529,3296.767,4322.544
QUE14B,281.508,163.718,619.543,2080.881,3092.397,4364.556
QUE16B,171.166,129.054,806.463,1989.453,3118.971,4149.486
QUE18B,226.176,30.363,666.188,1928.046,2985.951,4075.999
SPA01B,205.458,22.107,603.564,2072.210,3076.562,4261.784
SPA02B,158.165,42.486,477.965,1873.679,2949.837,4038.218
SPA03B,238.111,56.466,583.341,1812.756,3020.130,4168.840
SPA04B,204.505,27.414,556.142,1735.625,2986.122,3867.937
SPA05B,169.808,39.313,574.325,1756.281,3160.224,4033.446
SPA06B,177.521,28.388,612.217,1832.127,2859.948,3890.231
SPA07B,223.575,30.911,502.631,1896.989,3210.329,4490.257
SPA08B,188.377,24.533,636.514,1876.142,3030.755,4205.608
SPA09B,194.224,86.295,644.296,1951.296,3000.407,4004.733
SPA10B,182.425,24.121,597.084,1953.484,3004.317,4163.987
SPA11B,188.884,15.923,746.871,2214.847,3264.809,4294.341
SPA12B,219.494,73.924,620.107,1700.106,2932.166,4055.862
SPA13B,144.960,16.792,569.971,1989.556,3002.901,4182.847
SPA14B,193.314,23.310,501.567,2030.368,3096.623,4344.494
SPA15B,192.175,67.825,617.254,1980.973,3145.187,4251.500
TOP01B,248.343,20.703,687.198,2147.117,3029.507,3933.220
TOP02B,278.637,51.511,527.405,1629.117,2975.940,3992.103
TOP03B,311.001,50.117,539.623,1846.407,2864.376,3739.137
TOP04B,306.222,84.609,739.783,1867.284,2862.774,3805.923
TOP05B,233.467,27.771,437.090,1911.351,2898.081,3948.207
TOP06B,252.736,44.813,520.424,1709.747,2853.794,3918.958
TOP07B,250.884,37.791,569.446,1669.883,2751.091,3764.038
TOP08B,254.276,56.526,722.876,1721.775,2912.262,3960.621
TOP09B,225.460,52.520,562.014,1862.813,2869.787,3936.726
TOP10B,267.871,48.653,586.208,1724.355,2689.377,3770.837
TOP11B,305.045,32.847,562.823,1781.090,2972.172,3903.975
TOP12B,250.517,36.110,581.147,1939.848,2941.930,3823.307
TOP13B,250.991,96.230,650.180,1909.960,2985.471,4155.581
TOP14B,228.513,53.476,660.140,1930.381,2896.268,4004.882
TOP15B,330.397,63.971,681.005,1961.600,3061.613,3972.690
TOR01B,201.747,94.351,581.547,1955.359,3000.715,4103.775
TOR02B,216.325,79.425,565.015,1910.085,2985.466,4121.551
TOR03B,326.671,110.573,830.690,1922.764,3068.952,3996.318
TOR04B,236.054,71.662,628.198,1846.817,3018.627,4088.901
TOR05B,177.359,72.317,577.869,1907.955,3043.684,4069.447
TOR06B,319.817,87.383,620.947,1877.080,3057.891,4122.184
TOR07B,274.562,127.266,615.470,1913.625,2943.878,3967.466
TOR08B,217.296,99.499,595.976,1808.326,2943.023,4048.353
TOR09B,283.046,102.400,564.440,1916.721,2887.348,3908.717
TOR10B,295.911,108.949,600.526,1832.175,3045.851,4050.532
TOR11B,351.857,70.488,674.842,2017.298,3030.886,4163.150
TOR12B,295.085,84.963,642.486,1798.358,3014.306,3774.205
TOR13B,330.553,111.525,796.199,1943.319,3151.437,4161.662
TOR14B,327.747,105.422,621.829,1848.631,2776.315,3842.781
TOR15B,223.164,107.257,753.158,2144.479,3054.324,4161.697
